State,City,Category,gasdate,Date Local,NO2 Units,NO2 Mean,O3 Units,O3 Mean,SO2 Units,SO2 Mean,CO Units,CO Mean
Alabama,Birmingham,,,7/8/2014,Parts per billion,7.341667,Parts per million,0.040842,Parts per billion,0.931579,Parts per million,0.187273
Alabama,Birmingham,,,7/9/2014,Parts per billion,7.7875,Parts per million,0.03,Parts per billion,0.368182,Parts per million,0.125
Alabama,Birmingham,,,7/10/2014,Parts per billion,5.029167,Parts per million,0.03325,Parts per billion,0.1,Parts per million,0.115909
Alabama,Birmingham,,,7/11/2014,Parts per billion,8.075,Parts per million,0.032667,Parts per billion,2.472727,Parts per million,0.179545
Alabama,Birmingham,,,7/12/2014,Parts per billion,12.141667,Parts per million,0.030125,Parts per billion,2.177273,Parts per million,0.310909
Alabama,Birmingham,,,7/13/2014,Parts per billion,11.833333,Parts per million,0.0265,Parts per billion,0.813636,Parts per million,0.224091
Alabama,Birmingham,,7/14/2014,7/14/2014,Parts per billion,7.169565,Parts per million,0.033708,Parts per billion,0.63,Parts per million,0.1535
Alabama,Birmingham,,,7/15/2014,Parts per billion,6.529167,Parts per million,0.026292,Parts per billion,0.018182,Parts per million,0.150526
Alabama,Birmingham,,,7/16/2014,Parts per billion,4.266667,Parts per million,0.031375,Parts per billion,0.381818,Parts per million,0.105909
Alabama,Birmingham,,,7/17/2014,Parts per billion,6.445833,Parts per million,0.032583,Parts per billion,1.181818,Parts per million,0.130455
Alabama,Birmingham,,,7/18/2014,Parts per billion,14.45,Parts per million,0.024208,Parts per billion,1.740909,Parts per million,0.186364
Alabama,Birmingham,,,7/19/2014,Parts per billion,3.733333,Parts per million,0.018417,Parts per billion,0.181818,Parts per million,0.113182
Alabama,Birmingham,,,7/20/2014,Parts per billion,5.845833,Parts per million,0.019083,Parts per billion,0.627273,Parts per million,0.152727
Alabama,Birmingham,,7/21/2014,7/21/2014,Parts per billion,10.4,Parts per million,0.0225,Parts per billion,1.67,Parts per million,0.19
Alabama,Birmingham,,,7/22/2014,Parts per billion,6.041667,Parts per million,0.021,Parts per billion,0.519048,Parts per million,0.110455
Alabama,Birmingham,,,7/23/2014,Parts per billion,11.4125,Parts per million,0.022958,Parts per billion,1.009091,Parts per million,0.190909
Alabama,Birmingham,,,7/24/2014,Parts per billion,7.295833,Parts per million,0.029333,Parts per billion,0.545455,Parts per million,0.185909
Alabama,Birmingham,,,7/25/2014,Parts per billion,10.233333,Parts per million,0.02725,Parts per billion,0.677273,Parts per million,0.208182
Alabama,Birmingham,,,7/26/2014,Parts per billion,10.8,Parts per million,0.02725,Parts per billion,1.540909,Parts per million,0.280455
Alabama,Birmingham,,,7/27/2014,Parts per billion,6.8125,Parts per million,0.026708,Parts per billion,0.704545,Parts per million,0.215
Alabama,Birmingham,,7/28/2014,7/28/2014,Parts per billion,3.122727,Parts per million,0.030958,Parts per billion,0.215,Parts per million,0.1125
Alabama,Birmingham,,,7/29/2014,Parts per billion,4.758333,Parts per million,0.031333,Parts per billion,0.45,Parts per million,0.1635
Alabama,Birmingham,,,7/30/2014,Parts per billion,8.495833,Parts per million,0.034375,Parts per billion,1.245455,Parts per million,0.204091
Alabama,Birmingham,,,7/31/2014,Parts per billion,8.279167,Parts per million,0.037208,Parts per billion,2.618182,Parts per million,0.193636
Alabama,Birmingham,,,8/1/2014,Parts per billion,7.141667,Parts per million,0.03575,Parts per billion,2.045455,Parts per million,0.161364
Alabama,Birmingham,,,8/2/2014,Parts per billion,6.508333,Parts per million,0.030958,Parts per billion,1.290909,Parts per million,0.201364
Alabama,Birmingham,,,8/3/2014,Parts per billion,8.9375,Parts per million,0.028792,Parts per billion,3.436364,Parts per million,0.179545
Alabama,Birmingham,,8/4/2014,8/4/2014,Parts per billion,12.85,Parts per million,0.038353,Parts per billion,3.875,Parts per million,0.2095
Alabama,Birmingham,,,8/5/2014,Parts per billion,16.591667,Parts per million,0.03575,Parts per billion,3.565,Parts per million,0.24
Alabama,Birmingham,,,8/6/2014,Parts per billion,14.579167,Parts per million,0.026688,Parts per billion,1.913636,Parts per million,0.305455
Alabama,Birmingham,,,8/7/2014,Parts per billion,14.975,Parts per million,0.03725,Parts per billion,8.440909,Parts per million,0.269091
Alabama,Birmingham,,,8/8/2014,Parts per billion,13.3375,Parts per million,0.025417,Parts per billion,2.522727,Parts per million,0.270909
Alabama,Birmingham,,,8/9/2014,Parts per billion,6.958333,Parts per million,0.023042,Parts per billion,0.472727,Parts per million,0.168636
Alabama,Birmingham,,,8/10/2014,Parts per billion,5.454167,Parts per million,0.0245,Parts per billion,0.554545,Parts per million,0.144545
Alabama,Birmingham,,8/11/2014,8/11/2014,Parts per billion,6.4,Parts per million,0.022,Parts per billion,0.375,Parts per million,0.16
Alabama,Birmingham,,,8/12/2014,Parts per billion,3.583333,Parts per million,0.030125,Parts per billion,0.1,Parts per million,0.148947
Alabama,Birmingham,,,8/13/2014,Parts per billion,5.283333,Parts per million,0.033583,Parts per billion,0.409091,Parts per million,0.163182
Alabama,Birmingham,,,8/14/2014,Parts per billion,8.479167,Parts per million,0.031875,Parts per billion,0.363636,Parts per million,0.215
Alabama,Birmingham,,,8/15/2014,Parts per billion,14.016667,Parts per million,0.027708,Parts per billion,5.127273,Parts per million,0.275455
Alabama,Birmingham,,,8/16/2014,Parts per billion,14.220833,Parts per million,0.025167,Parts per billion,4.272727,Parts per million,0.338636
Alabama,Birmingham,,,8/17/2014,Parts per billion,9.054167,Parts per million,0.02375,Parts per billion,1.463636,Parts per million,0.202273
Alabama,Birmingham,,8/18/2014,8/18/2014,Parts per billion,6.9,Parts per million,0.013389,Parts per billion,0.705,Parts per million,0.1625
Alabama,Birmingham,,,8/19/2014,Parts per billion,9.258333,Parts per million,0.02075,Parts per billion,0.45,Parts per million,0.192273
Alabama,Birmingham,,,8/20/2014,Parts per billion,8.879167,Parts per million,0.01975,Parts per billion,0.938095,Parts per million,0.178182
Alabama,Birmingham,,,8/21/2014,Parts per billion,10.258333,Parts per million,0.022958,Parts per billion,1.1,Parts per million,0.201818
Alabama,Birmingham,,,8/22/2014,Parts per billion,10.633333,Parts per million,0.016958,Parts per billion,0.5,Parts per million,0.208636
Alabama,Birmingham,,,8/23/2014,Parts per billion,6.233333,Parts per million,0.024625,Parts per billion,1.086364,Parts per million,0.194091
Alabama,Birmingham,,,8/24/2014,Parts per billion,3.5375,Parts per million,0.028958,Parts per billion,1.445455,Parts per million,0.12
Alabama,Birmingham,,8/25/2014,8/25/2014,Parts per billion,8.545455,Parts per million,0.028875,Parts per billion,1.82,Parts per million,0.1625
Alabama,Birmingham,,,8/26/2014,Parts per billion,9.716667,Parts per million,0.031889,Parts per billion,2.322727,Parts per million,0.183684
Alabama,Birmingham,,,8/27/2014,Parts per billion,15.091667,Parts per million,0.03275,Parts per billion,9.1,Parts per million,0.292727
Alabama,Birmingham,,,8/28/2014,Parts per billion,14.925,Parts per million,0.036542,Parts per billion,6.268182,Parts per million,0.272273
Alabama,Birmingham,,,8/29/2014,Parts per billion,14.758333,Parts per million,0.032958,Parts per billion,3.318182,Parts per million,0.293636
Alabama,Birmingham,,,8/30/2014,Parts per billion,6.1375,Parts per million,0.020083,Parts per billion,0.581818,Parts per million,0.181364
Alabama,Birmingham,,,8/31/2014,Parts per billion,7.2875,Parts per million,0.010875,Parts per billion,0.540909,Parts per million,0.17
Alabama,Birmingham,,9/1/2014,9/1/2014,Parts per billion,7.304167,Parts per million,0.015,Parts per billion,1.61,Parts per million,0.1995
Alabama,Birmingham,,,9/2/2014,Parts per billion,6.995833,Parts per million,0.017167,Parts per billion,1.325,Parts per million,0.238182
Alabama,Birmingham,,,9/3/2014,Parts per billion,7.529167,Parts per million,0.024167,Parts per billion,0.386364,Parts per million,0.146818
Alabama,Birmingham,,,9/4/2014,Parts per billion,11.520833,Parts per million,0.019375,Parts per billion,0.354545,Parts per million,0.183182
Alabama,Birmingham,,,9/5/2014,Parts per billion,13.929167,Parts per million,0.018792,Parts per billion,1.931818,Parts per million,0.218182
Alabama,Birmingham,,,9/6/2014,Parts per billion,8.933333,Parts per million,0.030458,Parts per billion,3.931818,Parts per million,0.206364
Alabama,Birmingham,,,9/7/2014,Parts per billion,3.3875,Parts per million,0.028542,Parts per billion,1.886364,Parts per million,0.136364
Alabama,Birmingham,,9/8/2014,9/8/2014,Parts per billion,10.118182,Parts per million,0.028083,Parts per billion,2.21,Parts per million,0.191
Alabama,Birmingham,,,9/9/2014,Parts per billion,10.166667,Parts per million,0.024167,Parts per billion,4.368182,Parts per million,0.140526
Alabama,Birmingham,,,9/10/2014,Parts per billion,5.745833,Parts per million,0.023833,Parts per billion,0.613636,Parts per million,0.127727
Alabama,Birmingham,,,9/11/2014,Parts per billion,9.0625,Parts per million,0.017375,Parts per billion,0.759091,Parts per million,0.154545
Alabama,Birmingham,,,9/12/2014,Parts per billion,8.654167,Parts per million,0.021333,Parts per billion,1.168182,Parts per million,0.171364
